time,susceptible,exposed,infected,vaccinatedD1,vaccinatedD2,recovered,new_exposed,new_infected,new_recovered,deaths,error
357,0.042950281671899064,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.91080157946059,0.0,0.0,0.0,0.045873504002705935,0.9996435616857713
358,0.04293529627730687,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9108208463964943,0.0,0.0,0.0,0.045873504002705935,0.9996478432270833
359,0.042911747800090556,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9108315502497745,0.0,0.0,0.0,0.045873504002705935,0.9996349986031472
360,0.042902114332138426,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.605577992021348e-05,0.9108454652590386,0.0,0.0,0.0,0.045873504002705935,0.9996382097591312
361,0.04287963624025013,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.605577992021348e-05,0.910869013736255,0.0,0.0,0.0,0.045873504002705935,0.9996392801444592
362,0.04286358046032991,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.605577992021348e-05,0.9108947029841272,0.0,0.0,0.0,0.045873504002705935,0.9996489136124113
363,0.04284966545106573,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.4985394592199245e-05,0.9109150403053595,0.0,0.0,0.0,0.045873504002705935,0.9996542655390515
364,0.042829328129833456,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.4985394592199245e-05,0.9109375183972478,0.0,0.0,0.0,0.045873504002705935,0.9996564063097074
365,0.0428175538912253,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.4985394592199245e-05,0.9109642780304482,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
366,0.04279721656999303,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.4985394592199245e-05,0.9109824745810244,0.0,0.0,0.0,0.045873504002705935,0.9996692509336437
367,0.04278437194605686,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9109996007462726,0.0,0.0,0.0,0.045873504002705935,0.9996724620896277
368,0.04277366809277672,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9110188676821769,0.0,0.0,0.0,0.045873504002705935,0.9996810251722518
369,0.042754401156872464,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9110381346180811,0.0,0.0,0.0,0.045873504002705935,0.9996810251722518
370,0.04273620460629622,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9110520496273453,0.0,0.0,0.0,0.045873504002705935,0.9996767436309397
371,0.04271479689973594,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9110755981045616,0.0,0.0,0.0,0.045873504002705935,0.9996788844015957
372,0.04268803726653558,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9110873723431698,0.0,0.0,0.0,0.045873504002705935,0.9996638990070036
373,0.04266984071595934,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9111066392790741,0.0,0.0,0.0,0.045873504002705935,0.9996649693923316
374,0.04264308108275898,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9111269766003064,0.0,0.0,0.0,0.045873504002705935,0.9996585470803635
375,0.0426291660734948,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9111526658481787,0.0,0.0,0.0,0.045873504002705935,0.9996703213189716
376,0.04260989913759054,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.911173003169411,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
377,0.04259384335767033,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9111869181786751,0.0,0.0,0.0,0.045873504002705935,0.9996692509336437
378,0.04258206911906217,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9112061851145794,0.0,0.0,0.0,0.045873504002705935,0.9996767436309397
379,0.04256815410979799,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.3915009264185013e-05,0.9112158185825315,0.0,0.0,0.0,0.045873504002705935,0.9996724620896277
380,0.04255637987118983,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9112372262890918,0.0,0.0,0.0,0.045873504002705935,0.9996810251722518
381,0.04253069062331749,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9112618451516361,0.0,0.0,0.0,0.045873504002705935,0.9996799547869237
382,0.04250714214610118,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9112821824728684,0.0,0.0,0.0,0.045873504002705935,0.9996767436309397
383,0.042492156751508976,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9112928863261486,0.0,0.0,0.0,0.045873504002705935,0.9996724620896277
384,0.042473960200932734,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9113142940327088,0.0,0.0,0.0,0.045873504002705935,0.9996756732456117
