time,susceptible,exposed,vaccinatedD1,vaccinatedD2,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
137,6.727467273394515e-08,0.03375553796696612,3.4310083094312027e-06,0.9268371115350162,0.01682095552235924,0.021276960745564833,0.003748612039408158,0.0022545088326599697,0.0013690395901357838,0.0013051959257112699,0.9999992599786
138,6.727467273394515e-08,0.03530608462413808,3.094634945761477e-06,0.922945944464085,0.01763195170216695,0.022723568033362857,0.003891570718967791,0.0023412931604867592,0.0014468763864889584,0.0013891547172832335,0.9999998654506544
139,6.727467273394515e-08,0.036903050805496475,2.758261582091751e-06,0.9188917708611192,0.018474836076850548,0.024250434005732475,0.00405457725100214,0.0024575437949710165,0.001527067796387821,0.0014768808905282979,0.9999997981759818
140,6.727467273394515e-08,0.03855841140278793,2.4218882184220256e-06,0.9146582429806447,0.01935283783070127,0.025858702332110167,0.004233258781783498,0.002578234557855714,0.0016082683263776928,0.001568979917501069,0.9999996636266363
141,6.727467273394515e-08,0.04003535956798896,2.152789527486245e-06,0.9104812930999395,0.02026824430259206,0.02754689296969579,0.004177622627432526,0.0027002708141950905,0.0016879888135674177,0.0016652499741833444,0.9999992599786001
142,6.727467273394515e-08,0.04156558927399528,1.8164161638165192e-06,0.9061284199500351,0.021221728239250264,0.029315745939889407,0.004353074973922655,0.002823248915952742,0.0017687856955208858,0.00176629653262973,0.9999996636266364
143,0.0,0.04311243582416688,1.749141491082574e-06,0.9016467830765179,0.022187927089055183,0.03117911982527422,0.004482040521553628,0.002935193971382027,0.0018636429840757486,0.001871917768822024,0.9999999327253273
144,0.0,0.04443734322898919,1.6145921456146837e-06,0.8972561015605369,0.02318083398393548,0.03314145475425066,0.00439034514261726,0.0030653704631222107,0.001962334928976446,0.001982248232105694,0.9999995963519636
145,0.0,0.04571421651747947,1.5473174728807386e-06,0.8927655844302188,0.024221102248420476,0.035199790641218455,0.004491055327699976,0.0032141147645369634,0.002058470436313254,0.002097557021171676,0.9999997981759817
146,0.0,0.046969427361349424,1.4127681274128483e-06,0.888137961516869,0.025326963318821064,0.037345583602740366,0.004627622913349885,0.0033722102454617348,0.0021457256868491806,0.0022181805093836396,0.9999995290772908
147,0.0,0.04828161985302502,1.345493454678903e-06,0.8833287642618102,0.026462290695879125,0.0395811882523621,0.004809062705713335,0.003497206587401405,0.002235941022985401,0.0023441859714143187,0.9999993945279454
148,0.0,0.04959387961937336,1.1436694364770676e-06,0.8783958488835937,0.02761362944504786,0.041918983129866694,0.0049333190262529315,0.0036210592599045977,0.0023379967015227958,0.0024761116046455854,0.9999995963519636
149,0.0,0.05095020429636243,1.0091200910091773e-06,0.8732874138842143,0.02878171958772735,0.044365897526545746,0.0051083677247066575,0.0037521775970630568,0.002446914396679053,0.0026133519370228333,0.9999995963519637
150,0.0,0.05216733767546496,9.418454182752322e-07,0.8682046105351465,0.029943553185842582,0.046925967922763295,0.005082466975704089,0.0038652663219288187,0.002559868572199347,0.0027568488139643383,0.9999992599786
151,0.0,0.05342665227437168,8.74570745541287e-07,0.8629456820928613,0.03111890899317734,0.049601347108046825,0.005259399364994364,0.003999950216742177,0.0026756482839744664,0.002905660390051825,0.9999991254292545
152,0.0,0.05474005571015649,7.400214000733967e-07,0.8575102921839949,0.03229352477911202,0.052394255146596555,0.005435457183539098,0.004122322846445223,0.002792773489204265,0.003060728510703569,0.9999995963519637
153,0.0,0.05600851966455503,6.727467273394515e-07,0.8519722411245365,0.03348368101444824,0.0553128322738133,0.005538051059458365,0.004269519830387095,0.0029182407538530727,0.0032216495278831656,0.9999995963519636
154,0.0,0.057289093060045676,6.054720546055064e-07,0.8462655324605342,0.03469179958740443,0.05836434415435232,0.005706977762693301,0.004426202543184454,0.003051579155211752,0.0033882888922451477,0.9999996636266364
155,0.0,0.05859294349230226,4.709227091376161e-07,0.840514758885891,0.03577949649616686,0.061551212676432036,0.0057509081239885676,0.004447663163786582,0.003186801247406982,0.003560915702480451,0.9999997981759817
156,0.0,0.059729818186833206,4.709227091376161e-07,0.8347914333777234,0.036871902632020656,0.06486677764745179,0.00572298913480398,0.004586248989618509,0.0033158340697106888,0.0037389244865344696,0.9999993272532727
157,0.0,0.06086373279576385,4.0364803640367093e-07,0.8289478880293802,0.03795953226611035,0.06830565709359286,0.00584388172170688,0.004709967112776234,0.0034385430727774044,0.003922449793752672,0.9999996636266364
158,0.0,0.06211409986319695,3.363733636697258e-07,0.8229895720893529,0.0389182636272418,0.07186590004934597,0.005958383214700054,0.004707948872594216,0.003560512054444047,0.00411135707478959,0.999999529077291
159,0.0,0.06335995952755688,3.363733636697258e-07,0.8169247603423877,0.039864952821953875,0.07554441187976536,0.0060646099229469536,0.00481868298391429,0.003678377281073919,0.004305108132263352,0.9999995290772908
160,0.0,0.06455395041923895,3.363733636697258e-07,0.8107738370143232,0.040823280535048925,0.07934556543857872,0.00615152880011921,0.004957403359091684,0.003800817185449699,0.004503366592810289,1.0000003363733636
161,0.0,0.0656817430329508,3.363733636697258e-07,0.8045361293584318,0.04180212702332783,0.08327272445942277,0.006237304007854991,0.0051094441194704,0.003927293570189516,0.004706536104466803,0.9999995963519637
162,0.0,0.06680993929469906,2.690986909357806e-07,0.7982006716030579,0.0427521799516766,0.08732252520866081,0.006335592304719285,0.0052075978669892265,0.004049733474565297,0.004914549392560161,1.0000001345493454
163,0.0,0.06787415734267734,2.690986909357806e-07,0.791790875334313,0.04371642783597224,0.09149072938191058,0.006409728994072092,0.005345510946093814,0.004168540546613444,0.005127137358399428,0.9999995963519636
164,0.0,0.06900874469833532,2.0182401820183546e-07,0.7852906619054139,0.044602569825223766,0.09575305082231514,0.006500347978244716,0.005365626073241264,0.004262186891059095,0.00534477092469374,1.0
165,0.0,0.07003683624705548,2.0182401820183546e-07,0.7787510255182925,0.045536005909407255,0.1001094895298745,0.006539703661794074,0.005511544838401191,0.004356371432886618,0.00556644097135209,0.9999999999999999
166,0.0,0.07100565880909701,2.0182401820183546e-07,0.7721266230435264,0.04651720701123184,0.10455755634169749,0.006624537024111579,0.005655849011415503,0.004447999537150252,0.005793022069120017,1.0000002690986909
167,0.0,0.07196486109293761,2.0182401820183546e-07,0.7654140234728061,0.04752114695244051,0.10907518516512736,0.006712397746702112,0.005753128188188787,0.004517696098102619,0.006024446943324788,0.9999998654506546
